recipe_name,cuisine_SP,aisle_SP,ingredients_SP
Chicken Fajita Stuffed Bell Pepper,['Mexican'],"['Produce', 'Produce', 'Meat', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Pasta and Rice;Health Foods', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Cheese']","['avocado', 'bell pepper', 'chicken breast', 'chili powder', 'cilantro', 'cumin', 'lettuce', 'quinoa', 'salsa', 'salt and pepper', 'shredded cheese']"
Corn Avocado Salsa,['Mexican'],"['Produce', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Frozen', 'Produce', 'Produce']","['avocado', 'balsamic vinegar', 'cumin', 'frozen corn', 'garlic', 'red pepper']"
Cheesy Chicken Enchilada Quinoa Casserole,['Mexican'],"['Produce', 'Spices and Seasonings', 'Canned and Jarred', 'Canned and Jarred', 'Spices and Seasonings', 'Pasta and Rice;Health Foods', 'Spices and Seasonings', 'Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Cheese', 'Meat', 'Produce', 'Spices and Seasonings']","['avocado', 'black pepper', 'canned black beans', 'canned tomatoes', 'chili powder', 'cooked quinoa', 'cumin', 'green enchilada sauce', 'cilantro', 'spring onions', 'italian tomato', 'salt', 'shredded cheese', 'boneless skinless chicken breast', 'corn', 'white pepper']"
Homemade Guacamole,['Mexican'],"['Produce', 'Produce;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Produce', 'Produce']","['avocado', 'cilantro', 'lime juice', 'black pepper', 'red onion', 'italian tomato']"
Mini Stuffed Mexican Bell Peppers,['Mexican'],"['Produce', 'Canned and Jarred', 'Spices and Seasonings', 'Canned and Jarred;Ethnic Foods', 'Canned and Jarred', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Meat', 'Spices and Seasonings', 'Produce', 'Produce']","['bell pepper', 'canned black beans', 'chili powder', 'canned chipotle chile', 'fire roasted tomatoes', 'garlic', 'green chili pepper', 'ground coriander', 'cumin', 'ground turkey', 'paprika', 'tomatillos', 'yellow onion']"
Filet Mignon Soft Tacos,['Mexican'],"['Seafood', 'Oil, Vinegar, Salad Dressing', 'Refrigerated', 'Spices and Seasonings', 'Cheese', 'Milk, Eggs, Other Dairy', 'Bakery/Bread;Pasta and Rice;Ethnic Foods']","['cod fillets', 'extra virgin olive oil', 'guacamole', 'black pepper', 'shredded cheddar cheese', 'sour cream', 'white corn tortilla']"
Instant Pot Chicken Taco Soup,['Mexican'],"['Meat', 'Canned and Jarred', 'Produce', 'Canned and Jarred', 'Canned and Jarred', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Beverages']","['boneless skinless chicken breast', 'canned black beans', 'whole kernel corn', 'canned green chiles', 'canned tomatoes', 'chili powder', 'dried cilantro', 'green pepper', 'spring onions', 'olive oil', 'onion', 'water']"
Slow Cooker Chicken Taco Soup,['Mexican'],"['Canned and Jarred', 'Canned and Jarred', 'Canned and Jarred', 'Canned and Jarred', 'Produce', 'Produce', 'Meat']","['canned black beans', 'canned diced tomatoes', 'canned tomatoes', 'chili beans', 'corn', 'red onion', 'boneless skinless chicken breast']"
Corn-Crusted Fish Tacos With Jalapeno-Lime Sauce and Spicy Black Beans,['Mexican'],"['Canned and Jarred', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Ethnic Foods;Baking', 'Spices and Seasonings', 'Produce', 'Condiments', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Condiments', 'Cheese', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Seafood', 'Produce']","['canned black beans', 'ground cayenne pepper', 'cilantro', 'white corn tortilla', 'cornmeal', 'cumin', 'spring onions', 'hot sauce', 'jalapeno pepper', 'lime juice', 'lime', 'mayonnaise', 'monterey jack cheese', 'olive oil', 'red cabbage', 'tilapia', 'tomato']"
"Grilled Salmon With Cherry, Pineapple, Mango Salsa",['Mexican'],"['Produce', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Seafood', 'Spices and Seasonings', 'Produce']","['anaheim pepper', 'cherries', 'fresh basil', 'mint', 'garlic', 'lime juice', 'lime peel', 'mango', 'olive oil', 'peach', 'pineapple', 'salmon', 'salt and pepper', 'shallot']"
Vegan Taco bowls with Cilantro Lime Cauliflower Rice,['Mexican'],"['Oil, Vinegar, Salad Dressing;Health Foods', 'Produce', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Nuts;Baking']","['avocado oil', 'cauliflower', 'chili powder', 'cilantro', 'garlic powder', 'avocado', 'jalapeno pepper', 'lime juice', 'onion', 'salt', 'tomato', 'walnuts']"
Mango Salsa,['Mexican'],"['Produce', 'Produce', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Baking']","['cherry tomato', 'green pepper', 'lime juice', 'mango', 'mint', 'red pepper', 'red onion', 'sugar']"
